prob,neuron_type,distrib,method,weightsCoef,whitenoise,size,f1
0.2,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,True,5,0.2790895602796749
0.2,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,True,10,0.3291354681376493
0.2,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,True,20,0.3314201553411336
0.2,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,True,30,0.33380354707599347
0.2,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,True,50,0.3276239373345302
0.2,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,True,70,0.3276537493279859
0.2,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,True,100,0.32991442272760013
0.2,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,False,5,0.2296544426199599
0.2,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,False,10,0.33731175554603515
0.2,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,False,20,0.31121192431724387
0.2,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,False,30,0.3196200074152431
0.2,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,False,50,0.3275331661733594
0.2,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,False,70,0.33503110982611195
0.2,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,False,100,0.3268091710639976
0.2,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,True,5,0.35818309141838556
0.2,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,True,10,0.293492436853526
0.2,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,True,20,0.32944504803557545
0.2,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,True,30,0.3101082247121511
0.2,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,True,50,0.3169117800214877
0.2,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,True,70,0.31349517379968767
0.2,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,True,100,0.3149321599124184
0.2,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,False,5,0.5024559144559144
0.2,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,False,10,0.348968358107911
0.2,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,False,20,0.31154888901861166
0.2,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,False,30,0.31821907979962905
0.2,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,False,50,0.3195370592862495
0.2,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,False,70,0.3196914450720971
0.2,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,False,100,0.30983318011459093
0.2,iaf_psc_alpha,Gaussian,['CCG'],1000,True,5,0.3138095238095238
0.2,iaf_psc_alpha,Gaussian,['CCG'],1000,True,10,0.3686066001524063
0.2,iaf_psc_alpha,Gaussian,['CCG'],1000,True,20,0.3149737725369966
0.2,iaf_psc_alpha,Gaussian,['CCG'],1000,True,30,0.3165204072438666
0.2,iaf_psc_alpha,Gaussian,['CCG'],1000,True,50,0.33316290184773517
0.2,iaf_psc_alpha,Gaussian,['CCG'],1000,True,70,0.3319536985867774
0.2,iaf_psc_alpha,Gaussian,['CCG'],1000,True,100,0.3316188945891357
0.2,iaf_psc_alpha,Gaussian,['CCG'],1000,False,5,0.3516017316017316
0.2,iaf_psc_alpha,Gaussian,['CCG'],1000,False,10,0.4167713547152906
0.2,iaf_psc_alpha,Gaussian,['CCG'],1000,False,20,0.2860399266966524
0.2,iaf_psc_alpha,Gaussian,['CCG'],1000,False,30,0.33663328602070575
0.2,iaf_psc_alpha,Gaussian,['CCG'],1000,False,50,0.3217873746848262
0.2,iaf_psc_alpha,Gaussian,['CCG'],1000,False,70,0.32886484967003066
0.2,iaf_psc_alpha,Gaussian,['CCG'],1000,False,100,0.32719113420611684
0.2,iaf_psc_alpha,Gaussian,['GLM'],1000,True,5,0.24113664113664113
0.2,iaf_psc_alpha,Gaussian,['GLM'],1000,True,10,0.39002406818955104
0.2,iaf_psc_alpha,Gaussian,['GLM'],1000,True,20,0.32074573265660544
0.2,iaf_psc_alpha,Gaussian,['GLM'],1000,True,30,0.33025826990804247
0.2,iaf_psc_alpha,Gaussian,['GLM'],1000,True,50,0.32939578459856805
0.2,iaf_psc_alpha,Gaussian,['GLM'],1000,True,70,0.32739636503567854
0.2,iaf_psc_alpha,Gaussian,['GLM'],1000,True,100,0.32890283357579053
0.2,iaf_psc_alpha,Gaussian,['GLM'],1000,False,5,0.29508226448474123
0.2,iaf_psc_alpha,Gaussian,['GLM'],1000,False,10,0.2736049892731787
0.2,iaf_psc_alpha,Gaussian,['GLM'],1000,False,20,0.32352544635107044
0.2,iaf_psc_alpha,Gaussian,['GLM'],1000,False,30,0.31940391480979824
0.2,iaf_psc_alpha,Gaussian,['GLM'],1000,False,50,0.326829133607505
0.2,iaf_psc_alpha,Gaussian,['GLM'],1000,False,70,0.3361655540883811
0.2,iaf_psc_alpha,Gaussian,['GLM'],1000,False,100,0.331636466457859
0.2,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,True,5,0.39801073128659337
0.2,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,True,10,0.2982203064510365
0.2,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,True,20,0.35547062386982176
0.2,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,True,30,0.3131007200425044
0.2,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,True,50,0.32615218162828347
0.2,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,True,70,0.3306753361640557
0.2,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,True,100,0.3262378703520896
0.2,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,False,5,0.42910332468174517
0.2,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,False,10,0.25713930350862174
0.2,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,False,20,0.33661935185872754
0.2,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,False,30,0.32870385529693386
0.2,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,False,50,0.3294196884126852
0.2,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,False,70,0.3243288727775323
0.2,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,False,100,0.3354325505867094
0.2,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,True,5,0.3238969404186795
0.2,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,True,10,0.3486172997462857
0.2,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,True,20,0.31530465853022716
0.2,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,True,30,0.3254168491868011
0.2,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,True,50,0.33868890471200325
0.2,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,True,70,0.3289087017489602
0.2,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,True,100,0.3291659393534284
0.2,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,False,5,0.3328902788033223
0.2,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,False,10,0.32981793670947546
0.2,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,False,20,0.35953825591454636
0.2,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,False,30,0.3208879901052871
0.2,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,False,50,0.3277541982114964
0.2,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,False,70,0.33407609737544686
0.2,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,False,100,0.33195182766393355
0.2,iaf_psc_alpha,Uniform,['CCG'],1000,True,5,0.5094444444444444
0.2,iaf_psc_alpha,Uniform,['CCG'],1000,True,10,0.4133832959761681
0.2,iaf_psc_alpha,Uniform,['CCG'],1000,True,20,0.31243867738469766
0.2,iaf_psc_alpha,Uniform,['CCG'],1000,True,30,0.3395812802173394
0.2,iaf_psc_alpha,Uniform,['CCG'],1000,True,50,0.32961708567806514
0.2,iaf_psc_alpha,Uniform,['CCG'],1000,True,70,0.33242047357077986
0.2,iaf_psc_alpha,Uniform,['CCG'],1000,True,100,0.33628150492603365
0.2,iaf_psc_alpha,Uniform,['CCG'],1000,False,5,0.5263270063270065
0.2,iaf_psc_alpha,Uniform,['CCG'],1000,False,10,0.3965439070733189
0.2,iaf_psc_alpha,Uniform,['CCG'],1000,False,20,0.3329408255191749
0.2,iaf_psc_alpha,Uniform,['CCG'],1000,False,30,0.3657515553254512
0.2,iaf_psc_alpha,Uniform,['CCG'],1000,False,50,0.33220415754458865
0.2,iaf_psc_alpha,Uniform,['CCG'],1000,False,70,0.33189319508883175
0.2,iaf_psc_alpha,Uniform,['CCG'],1000,False,100,0.3334685813438238
0.2,iaf_psc_alpha,Uniform,['GLM'],1000,True,5,0.4318527272222251
0.2,iaf_psc_alpha,Uniform,['GLM'],1000,True,10,0.3581648202498567
0.2,iaf_psc_alpha,Uniform,['GLM'],1000,True,20,0.31735757508568
0.2,iaf_psc_alpha,Uniform,['GLM'],1000,True,30,0.3259433317004922
0.2,iaf_psc_alpha,Uniform,['GLM'],1000,True,50,0.3332212932908437
0.2,iaf_psc_alpha,Uniform,['GLM'],1000,True,70,0.32768586918593706
0.2,iaf_psc_alpha,Uniform,['GLM'],1000,True,100,0.3319211921262354
0.2,iaf_psc_alpha,Uniform,['GLM'],1000,False,5,0.4126349141055023
0.2,iaf_psc_alpha,Uniform,['GLM'],1000,False,10,0.36851155083925635
0.2,iaf_psc_alpha,Uniform,['GLM'],1000,False,20,0.32257042297950805
0.2,iaf_psc_alpha,Uniform,['GLM'],1000,False,30,0.32519791243851237
0.2,iaf_psc_alpha,Uniform,['GLM'],1000,False,50,0.32090901256049037
0.2,iaf_psc_alpha,Uniform,['GLM'],1000,False,70,0.3324220451087003
0.2,iaf_psc_alpha,Uniform,['GLM'],1000,False,100,0.33198836138652266
0.3,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,True,5,0.4326172349053328
0.3,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,True,10,0.4328057344618495
0.3,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,True,20,0.43425273961815714
0.3,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,True,30,0.4509861489510441
0.3,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,True,50,0.4532724829638955
0.3,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,True,70,0.4548732706884314
0.3,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,True,100,0.45996437918108146
0.3,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,False,5,0.43386593255529754
0.3,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,False,10,0.4486928315098325
0.3,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,False,20,0.46263137196088905
0.3,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,False,30,0.45261339215409413
0.3,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,False,50,0.44955445228348934
0.3,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,False,70,0.45650593384172977
0.3,iaf_psc_alpha,Gaussian,['Pearson Correlation'],1000,False,100,0.45575510965017535
0.3,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,True,5,0.3369055668244309
0.3,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,True,10,0.42248711227168434
0.3,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,True,20,0.4538568338467376
0.3,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,True,30,0.41984784471132564
0.3,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,True,50,0.4248424140641741
0.3,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,True,70,0.42668019867215656
0.3,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,True,100,0.4314815238352172
0.3,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,False,5,0.3968849990589121
0.3,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,False,10,0.4520850609337844
0.3,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,False,20,0.43768661211324034
0.3,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,False,30,0.4269053874821207
0.3,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,False,50,0.4301384233954397
0.3,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,False,70,0.423114884138729
0.3,iaf_psc_alpha,Gaussian,['Transfer Entropy'],1000,False,100,0.43041680502613267
0.3,iaf_psc_alpha,Gaussian,['CCG'],1000,True,5,0.5179340267575563
0.3,iaf_psc_alpha,Gaussian,['CCG'],1000,True,10,0.47641145553241204
0.3,iaf_psc_alpha,Gaussian,['CCG'],1000,True,20,0.42352583746728734
0.3,iaf_psc_alpha,Gaussian,['CCG'],1000,True,30,0.4421149670627938
0.3,iaf_psc_alpha,Gaussian,['CCG'],1000,True,50,0.448336285440755
0.3,iaf_psc_alpha,Gaussian,['CCG'],1000,True,70,0.4455617604757437
0.3,iaf_psc_alpha,Gaussian,['CCG'],1000,True,100,0.4519289028779457
0.3,iaf_psc_alpha,Gaussian,['CCG'],1000,False,5,0.4819913419913419
0.3,iaf_psc_alpha,Gaussian,['CCG'],1000,False,10,0.498051470581896
0.3,iaf_psc_alpha,Gaussian,['CCG'],1000,False,20,0.41592641771805416
0.3,iaf_psc_alpha,Gaussian,['CCG'],1000,False,30,0.4263872809275496
0.3,iaf_psc_alpha,Gaussian,['CCG'],1000,False,50,0.4472188372834129
0.3,iaf_psc_alpha,Gaussian,['CCG'],1000,False,70,0.4497542372850519
0.3,iaf_psc_alpha,Gaussian,['CCG'],1000,False,100,0.4519608461291297
0.3,iaf_psc_alpha,Gaussian,['GLM'],1000,True,5,0.4838343016632491
0.3,iaf_psc_alpha,Gaussian,['GLM'],1000,True,10,0.44689960965767445
0.3,iaf_psc_alpha,Gaussian,['GLM'],1000,True,20,0.45796576163584035
0.3,iaf_psc_alpha,Gaussian,['GLM'],1000,True,30,0.4533355904800843
0.3,iaf_psc_alpha,Gaussian,['GLM'],1000,True,50,0.45046636622255287
0.3,iaf_psc_alpha,Gaussian,['GLM'],1000,True,70,0.45452686212569227
0.3,iaf_psc_alpha,Gaussian,['GLM'],1000,True,100,0.46049140894003376
0.3,iaf_psc_alpha,Gaussian,['GLM'],1000,False,5,0.431015873015873
0.3,iaf_psc_alpha,Gaussian,['GLM'],1000,False,10,0.44735112128790266
0.3,iaf_psc_alpha,Gaussian,['GLM'],1000,False,20,0.44320294217274003
0.3,iaf_psc_alpha,Gaussian,['GLM'],1000,False,30,0.45469540463253677
0.3,iaf_psc_alpha,Gaussian,['GLM'],1000,False,50,0.44928375746605037
0.3,iaf_psc_alpha,Gaussian,['GLM'],1000,False,70,0.452750757839287
0.3,iaf_psc_alpha,Gaussian,['GLM'],1000,False,100,0.4627082464526608
0.3,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,True,5,0.37461445751545863
0.3,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,True,10,0.4114278950325865
0.3,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,True,20,0.45755140327978855
0.3,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,True,30,0.4555817056648036
0.3,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,True,50,0.46885658739213093
0.3,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,True,70,0.45600278247100123
0.3,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,True,100,0.45501612062821034
0.3,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,False,5,0.4493362781905607
0.3,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,False,10,0.4606860516519041
0.3,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,False,20,0.4242462345006941
0.3,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,False,30,0.44504473405733913
0.3,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,False,50,0.454277591572141
0.3,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,False,70,0.45557491295929314
0.3,iaf_psc_alpha,Uniform,['Pearson Correlation'],1000,False,100,0.4568967862793052
0.3,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,True,5,0.4646346307365798
0.3,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,True,10,0.4492165032729683
0.3,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,True,20,0.4828997538165346
0.3,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,True,30,0.4623844569065775
0.3,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,True,50,0.45779117255026647
0.3,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,True,70,0.4608828849227898
0.3,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,True,100,0.46056121144810647
0.3,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,False,5,0.6164285714285714
0.3,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,False,10,0.4709362793776225
0.3,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,False,20,0.4825668199596945
0.3,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,False,30,0.45416502704832584
0.3,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,False,50,0.4646463411510234
0.3,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,False,70,0.4620002137165703
0.3,iaf_psc_alpha,Uniform,['Transfer Entropy'],1000,False,100,0.4590465313936051
0.3,iaf_psc_alpha,Uniform,['CCG'],1000,True,5,0.5086713286713287
0.3,iaf_psc_alpha,Uniform,['CCG'],1000,True,10,0.400163723375321
0.3,iaf_psc_alpha,Uniform,['CCG'],1000,True,20,0.46248314093020293
0.3,iaf_psc_alpha,Uniform,['CCG'],1000,True,30,0.448653062024737
0.3,iaf_psc_alpha,Uniform,['CCG'],1000,True,50,0.4556656247244974
0.3,iaf_psc_alpha,Uniform,['CCG'],1000,True,70,0.45816395182972214
0.3,iaf_psc_alpha,Uniform,['CCG'],1000,True,100,0.4619502489164268
0.3,iaf_psc_alpha,Uniform,['CCG'],1000,False,5,0.6421855921855922
0.3,iaf_psc_alpha,Uniform,['CCG'],1000,False,10,0.48826058709284614
0.3,iaf_psc_alpha,Uniform,['CCG'],1000,False,20,0.4729731998704625
0.3,iaf_psc_alpha,Uniform,['CCG'],1000,False,30,0.46805831567031486
0.3,iaf_psc_alpha,Uniform,['CCG'],1000,False,50,0.46494763626724156
0.3,iaf_psc_alpha,Uniform,['CCG'],1000,False,70,0.46770250695585114
0.3,iaf_psc_alpha,Uniform,['CCG'],1000,False,100,0.4621329292957498
0.3,iaf_psc_alpha,Uniform,['GLM'],1000,True,5,0.3975295075295075
0.3,iaf_psc_alpha,Uniform,['GLM'],1000,True,10,0.41690768700827324
0.3,iaf_psc_alpha,Uniform,['GLM'],1000,True,20,0.4569169366192254
0.3,iaf_psc_alpha,Uniform,['GLM'],1000,True,30,0.45427901612920796
0.3,iaf_psc_alpha,Uniform,['GLM'],1000,True,50,0.45612684362124795
0.3,iaf_psc_alpha,Uniform,['GLM'],1000,True,70,0.45368345877617255
0.3,iaf_psc_alpha,Uniform,['GLM'],1000,True,100,0.45246642454044067
0.3,iaf_psc_alpha,Uniform,['GLM'],1000,False,5,0.49218470418470417
0.3,iaf_psc_alpha,Uniform,['GLM'],1000,False,10,0.4188906342300866
0.3,iaf_psc_alpha,Uniform,['GLM'],1000,False,20,0.433742023630262
0.3,iaf_psc_alpha,Uniform,['GLM'],1000,False,30,0.45673360111109707
0.3,iaf_psc_alpha,Uniform,['GLM'],1000,False,50,0.45217724883540444
